time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
6.935021,-0.0707,0.0461,0.0508,0.099
6.945718,-0.0841,0.0559,0.0759,0.126
6.954901,-0.1110,0.0441,0.0535,0.131
6.965408,-0.1001,0.0633,0.0438,0.126
6.976476,-0.0607,0.0705,0.0484,0.105
6.990093,-0.0410,0.0778,0.0643,0.109
7.002242,-0.0430,0.0683,0.0592,0.100
7.005101,-0.0444,0.0659,0.0375,0.088
7.021949,-0.0462,0.0515,0.0210,0.072
7.027582,-0.0336,0.0373,0.0300,0.058
7.035087,-0.0354,0.0375,0.0552,0.076
7.045778,-0.0470,0.0208,0.0547,0.075
7.057129,-0.0460,0.0187,0.0605,0.078
7.066121,-0.0523,0.0164,0.0528,0.076
7.077216,-0.0751,0.0405,0.0446,0.096
7.088336,-0.1020,0.0645,0.0513,0.131
7.103821,-0.1238,0.0813,0.0463,0.155
7.108971,-0.1429,0.0836,0.0322,0.169
7.116265,-0.1671,0.1076,0.0487,0.205
7.125491,-0.1672,0.1315,0.0795,0.227
7.136017,-0.1484,0.1102,0.0857,0.204
7.146215,-0.1254,0.0936,0.1085,0.190
7.157111,-0.1406,0.1010,0.1217,0.212
7.176509,-0.1126,0.1251,0.1185,0.206
7.177056,-0.0951,0.1062,0.1244,0.189
7.187578,-0.0558,0.0968,0.1117,0.158
7.196941,-0.0200,0.1113,0.1180,0.163
7.206092,-0.0950,0.1736,0.0601,0.207
7.216649,-0.2644,0.1497,0.0623,0.310
7.227069,-0.1213,-0.0405,0.3026,0.329
7.237078,-0.0343,-0.0817,0.5207,0.528
7.247431,-0.0532,0.0346,0.5759,0.579
7.257351,-0.0570,0.0525,0.4865,0.493
7.266578,-0.0398,-0.0038,0.3709,0.373
7.278383,0.0053,-0.0722,0.2584,0.268
7.289733,0.0574,-0.1196,0.1199,0.179
7.305201,-0.1689,-0.0124,-0.1387,0.219
7.317897,-0.3154,0.0391,-0.2507,0.405
7.318521,-0.1994,0.0024,-0.2254,0.301
7.326928,-0.0739,-0.0388,-0.1725,0.192
7.337773,-0.0045,-0.0680,-0.1677,0.181
7.348709,0.0851,-0.0564,-0.1303,0.166
7.358297,0.0921,0.0315,-0.1556,0.184
7.368698,-0.0059,0.1600,-0.2597,0.305
7.378124,-0.0865,0.2020,-0.3480,0.412
7.393246,-0.1349,0.1914,-0.3456,0.417
7.404997,-0.1473,0.1834,-0.3125,0.391
7.413456,-0.1240,0.1608,-0.3148,0.375
7.422468,-0.0581,0.0924,-0.3438,0.361
7.428980,-0.0238,0.0671,-0.3556,0.363
7.438512,-0.0227,0.0900,-0.3097,0.323
7.449468,-0.0543,0.0939,-0.2193,0.245
7.460099,-0.0824,0.0907,-0.1114,0.166
7.469459,-0.1071,0.1024,-0.0624,0.161
7.480567,-0.1048,0.0710,-0.0029,0.127
7.493689,-0.1025,0.0447,0.0553,0.125
7.504616,-0.0737,0.0167,0.1292,0.150
7.513225,-0.0371,-0.0114,0.1548,0.160
7.527725,-0.0148,-0.0556,0.1706,0.180
7.535784,0.0003,-0.0771,0.1760,0.192
7.540026,0.0007,-0.0753,0.1624,0.179
7.549749,0.0054,-0.0725,0.1361,0.154
7.560654,-0.0015,-0.0466,0.1339,0.142
7.570158,-0.0199,-0.0111,0.1239,0.126
7.580698,-0.0712,0.0244,0.1257,0.147
7.593676,-0.1386,0.0600,0.1034,0.183
7.606387,-0.2288,0.0904,0.0882,0.261
7.613480,-0.2828,0.1265,0.1371,0.339
7.621283,-0.3484,0.1647,0.1591,0.417
7.630362,-0.4202,0.2077,0.1812,0.503
7.640296,-0.4451,0.2076,0.1790,0.523
7.650614,-0.4565,0.2196,0.1837,0.539
7.660714,-0.4137,0.1862,0.1878,0.491
7.670567,-0.2638,0.1409,0.1750,0.347
7.681483,-0.1608,0.0911,0.1636,0.247
7.699547,-0.0747,0.0485,0.1516,0.176
7.701389,0.0223,-0.0011,0.1600,0.162
7.713955,0.0647,-0.0311,0.1859,0.199
7.726666,0.0843,-0.0470,0.2192,0.240
7.736777,0.1044,-0.0267,0.2446,0.267
7.742221,0.0881,-0.0065,0.2492,0.264
7.751164,0.0750,-0.0079,0.2154,0.228
7.760384,0.0884,-0.0212,0.1905,0.211
7.770406,0.0788,-0.0225,0.1392,0.162
7.781749,0.0640,0.0024,0.1054,0.123
7.794132,0.0393,0.0295,0.0722,0.087
7.801749,-0.0375,0.0638,0.0515,0.090
7.811460,-0.1135,0.1052,0.0598,0.166
7.820589,-0.1816,0.1370,0.1182,0.256
7.834018,-0.2727,0.1689,0.1622,0.359
7.841066,-0.3012,0.1624,0.1587,0.377
7.851021,-0.2410,0.1439,0.1411,0.314
7.861486,-0.0927,0.1085,0.0836,0.165
7.872285,0.0266,0.0682,0.0244,0.077
7.881473,0.1177,0.0346,-0.0276,0.126
7.901176,0.1743,0.0015,-0.0537,0.182
7.902503,0.1743,-0.0055,-0.0447,0.180
7.916532,0.1526,-0.0006,-0.0309,0.156
7.928601,0.1327,0.0233,-0.0310,0.138
7.935651,0.1167,0.0280,-0.0021,0.120
7.941078,0.0716,0.0445,-0.0247,0.088
7.950829,-0.0044,0.0727,-0.0771,0.106
7.961601,-0.0234,0.0744,-0.0976,0.125
7.972339,-0.0233,0.0810,-0.0754,0.113
7.981807,-0.0395,0.0855,-0.0599,0.112
7.998797,-0.0503,0.0872,-0.0321,0.106
8.004932,-0.0419,0.0747,-0.0083,0.086
8.010671,0.0067,0.0792,0.0220,0.082
8.022827,0.0549,0.0742,0.0279,0.096
8.034445,0.0690,0.0523,-0.0110,0.087
8.041199,0.0996,0.0470,-0.0565,0.124
8.051506,0.1250,0.0418,-0.0685,0.149
8.062041,0.1147,0.0342,-0.0521,0.131
8.072052,0.1044,0.0077,0.0060,0.105
8.082694,0.0826,0.0077,0.0585,0.101
8.093086,0.0610,0.0031,0.1149,0.130
8.109863,0.0279,0.0249,0.1401,0.145
8.130988,0.0163,0.0346,0.1485,0.153
8.131982,0.0308,0.0468,0.1236,0.136
8.137214,0.0236,0.0446,0.1129,0.124
8.145315,0.0158,0.0425,0.0874,0.098
8.153195,0.0248,0.0331,0.0603,0.073
8.163304,0.0433,0.0306,-0.0042,0.053
8.173318,0.0615,0.0424,-0.0414,0.085
8.188727,0.0531,0.0566,-0.0548,0.095
8.199182,0.0361,0.0707,-0.0633,0.102
8.209682,0.0403,0.0896,-0.0737,0.123
8.218218,0.0490,0.0868,-0.1195,0.156
8.226939,0.0318,0.0767,-0.1265,0.151
8.235975,0.0173,0.0595,-0.1143,0.130
8.243529,0.0008,0.0519,-0.1004,0.113
8.257300,-0.0222,0.0493,-0.0870,0.102
8.263441,-0.0359,0.0609,-0.1090,0.130
8.274204,-0.0333,0.0893,-0.1217,0.155
8.284456,0.0140,0.1008,-0.1100,0.150
8.295669,0.0371,0.0957,-0.0867,0.134
8.307444,0.0224,0.0835,-0.0733,0.113
8.315139,-0.0037,0.0929,-0.0702,0.116
8.326615,-0.0111,0.0976,-0.0384,0.105
8.335602,0.0459,0.0974,-0.0115,0.108
8.345965,0.0526,0.0687,-0.0090,0.087
8.357962,0.0403,0.0493,-0.0389,0.075
8.364459,0.0372,0.0491,-0.0497,0.079
8.375013,0.0618,0.0347,-0.0303,0.077
8.384111,0.0933,0.0252,0.0194,0.099
8.398722,0.1105,0.0158,0.0545,0.124
8.415304,0.1039,0.0088,0.0608,0.121
8.415924,0.0736,-0.0028,0.0661,0.099
8.424524,0.0700,0.0022,0.0621,0.094
8.438159,0.0825,0.0264,0.0634,0.107
8.447064,0.0572,0.0552,0.0486,0.093
8.458069,0.0094,0.0984,0.0788,0.126
8.469484,-0.0122,0.1104,0.0760,0.135
8.475877,-0.0169,0.1153,0.0159,0.118
8.485699,0.0121,0.1247,-0.0574,0.138
8.496425,0.0593,0.1051,-0.1007,0.157
8.513850,0.0863,0.0857,-0.1037,0.160
8.519653,0.1223,0.0517,-0.1132,0.175
8.531497,0.1360,0.0367,-0.1410,0.199
8.537917,0.1547,0.0146,-0.1644,0.226
8.547182,0.1679,0.0117,-0.1663,0.237
8.558712,0.1529,0.0039,-0.1467,0.212
8.565365,0.1378,0.0155,-0.1205,0.184
8.575798,0.1074,0.0342,-0.0919,0.145
8.585614,0.0750,0.0483,-0.0691,0.113
8.596460,0.0530,0.0552,-0.0532,0.093
8.607622,0.0379,0.0645,-0.0614,0.097
8.615854,0.0088,0.0763,-0.0724,0.106
8.625161,-0.0129,0.0879,-0.0897,0.126
8.635889,-0.0058,0.0924,-0.0999,0.136
8.647510,-0.0084,0.0896,-0.1074,0.140
8.658510,-0.0107,0.0893,-0.1033,0.137
8.666129,0.0107,0.0843,-0.0829,0.119
8.675762,0.0222,0.0961,-0.0580,0.114
8.685636,0.0434,0.0934,-0.0425,0.111
8.702416,0.0517,0.0862,-0.0326,0.106
8.722570,0.0698,0.0814,-0.0204,0.109
8.723366,0.0918,0.0525,-0.0289,0.110
8.733422,0.1160,0.0284,-0.0568,0.132
8.739240,0.1294,0.0067,-0.0346,0.134
8.747693,0.1268,0.0068,0.0056,0.127
8.758756,0.1078,0.0045,0.0387,0.115
8.768834,0.0889,0.0237,0.0240,0.095
8.775967,0.0709,0.0332,0.0027,0.078
8.786048,0.0441,0.0595,-0.0159,0.076
8.796386,0.0110,0.1000,-0.0487,0.112
8.806018,0.0011,0.1189,-0.0831,0.145
8.816043,-0.0059,0.1425,-0.1148,0.183
8.826976,-0.0150,0.1278,-0.1274,0.181
8.836487,-0.0196,0.1226,-0.1301,0.180
8.846706,-0.0120,0.1056,-0.1023,0.148
8.858694,-0.0068,0.0935,-0.0678,0.116
8.870170,0.0097,0.0790,-0.0219,0.083
8.881159,0.0285,0.0767,0.0042,0.082
8.887455,0.0704,0.0480,-0.0055,0.085
8.897626,0.1085,0.0238,-0.0543,0.124
8.913295,0.1531,0.0138,-0.0901,0.178
8.930191,0.1806,0.0204,-0.1276,0.222
8.931044,0.1935,0.0221,-0.1599,0.252
8.938965,0.1925,0.0120,-0.1736,0.260
8.948397,0.1494,0.0162,-0.1725,0.229
8.958556,0.1108,0.0371,-0.1571,0.196
8.969447,0.0759,0.0607,-0.1100,0.147
8.981528,0.0228,0.0652,-0.0676,0.097
8.988860,-0.0126,0.0651,-0.0573,0.088
8.998567,-0.0152,0.0841,-0.0685,0.109
9.012699,0.0489,0.0934,-0.0672,0.125
9.018855,0.0858,0.0884,-0.0828,0.148
9.028104,0.0797,0.0713,-0.0903,0.140
9.039524,0.0975,0.0616,-0.0606,0.130
9.048143,0.0910,0.0639,-0.0361,0.117
9.059004,0.0821,0.0495,-0.0123,0.097
9.070777,0.1701,0.0399,0.0072,0.175
9.081933,0.1640,0.0066,0.0232,0.166
9.092780,0.0694,-0.0149,-0.0105,0.072
9.099073,0.0277,-0.0102,-0.0175,0.034
9.111257,0.0349,0.0113,-0.0101,0.038
9.118923,0.0649,0.0376,0.0090,0.076
9.130285,0.0598,0.0472,-0.0146,0.078
9.139615,0.0588,0.0542,-0.0566,0.098
9.149275,0.0746,0.0538,-0.0977,0.134
9.159922,0.0733,0.0487,-0.0936,0.128
9.170977,0.0792,0.0388,-0.0799,0.119
9.182425,0.1034,0.0412,-0.0195,0.113
9.193652,0.0990,0.0459,-0.0142,0.110
9.206041,0.0872,0.0121,-0.0555,0.104
9.217134,0.0830,-0.0050,-0.0898,0.122
9.219647,0.0934,-0.0220,-0.1097,0.146
9.228878,0.1009,-0.0033,-0.1216,0.158
9.239741,0.1339,-0.0037,-0.1335,0.189
9.251218,0.1648,-0.0328,-0.1480,0.224
9.260090,0.1977,-0.0331,-0.1771,0.268
9.271285,0.1832,-0.0194,-0.2142,0.283
9.282746,0.1191,-0.0104,-0.2201,0.251
9.295841,0.0681,0.0176,-0.1947,0.207
9.300594,0.0151,0.0312,-0.1715,0.175
9.311084,0.0033,0.0762,-0.1469,0.165
9.327356,0.0009,0.0879,-0.0927,0.128
9.330488,-0.0296,0.0829,-0.0680,0.111
9.339822,-0.0508,0.0708,-0.0526,0.102
9.351669,-0.0620,0.0778,-0.0419,0.108
9.362799,-0.0421,0.0610,-0.0062,0.074
9.371522,-0.0297,0.0658,0.0368,0.081
9.382701,-0.0124,0.0659,0.0577,0.088
9.393745,-0.0124,0.0494,0.0877,0.101
9.408899,-0.0052,0.0472,0.1270,0.136
9.413723,-0.0121,0.0332,0.1561,0.160
9.421164,0.0098,0.0383,0.1614,0.166
9.430768,-0.0020,0.0338,0.1263,0.131
9.441472,-0.0048,0.0365,0.1032,0.110
9.451541,-0.0448,0.0463,0.0973,0.117
9.460878,-0.0844,0.0679,0.0798,0.135
9.472423,-0.1025,0.0656,0.0720,0.141
9.482882,-0.1032,0.0657,0.0668,0.139
9.494101,-0.0687,0.0633,0.0427,0.103
9.501764,-0.0207,0.0609,0.0331,0.072
9.511923,-0.0063,0.0562,0.0159,0.059
9.528127,0.0170,0.0561,-0.0002,0.059
9.551185,0.0048,0.0679,-0.0377,0.078
9.551916,-0.0256,0.0820,-0.0815,0.118
9.552308,-0.0771,0.0818,-0.0829,0.140
9.560288,-0.1133,0.0865,-0.0559,0.153
9.572267,-0.1403,0.0816,-0.0124,0.163
9.583109,-0.1339,0.0815,0.0237,0.159
9.594280,-0.1135,0.0769,0.0303,0.140
9.601568,-0.0996,0.0578,0.0396,0.122
9.611733,-0.0929,0.0507,0.0461,0.115
9.623223,-0.0582,0.0508,0.0504,0.092
9.633529,0.0136,0.0461,0.0643,0.080
9.642068,0.0229,0.0604,0.0285,0.071
9.652503,-0.0124,0.0627,-0.0308,0.071
9.661456,-0.0543,0.0601,-0.0562,0.099
9.672153,-0.0815,0.0671,-0.0336,0.111
9.682038,-0.1132,0.0719,0.0240,0.136
9.694605,-0.1230,0.0817,0.0729,0.165
9.705756,-0.1403,0.0865,0.0797,0.183
9.712710,-0.1499,0.0865,0.0531,0.181
9.725593,-0.1126,0.0652,0.0498,0.139
9.733331,-0.0498,0.0318,0.0514,0.078
9.742855,-0.0161,0.0128,0.0603,0.064
9.753202,0.0407,0.0010,0.0664,0.078
9.763328,0.0448,0.0013,0.0741,0.087
9.774649,0.0485,-0.0008,0.0726,0.087
9.783629,0.0214,0.0041,0.0359,0.042
9.797035,-0.0121,-0.0007,-0.0021,0.012
9.807262,-0.0352,0.0089,-0.0165,0.040
9.825746,-0.0602,0.0328,-0.0071,0.069
9.826814,-0.0775,0.0352,-0.0212,0.088
9.842941,-0.1043,0.0446,-0.0206,0.115
9.846907,-0.0884,0.0374,-0.0014,0.096
9.853070,-0.0657,0.0470,-0.0014,0.081
9.863164,-0.0553,0.0541,-0.0201,0.080
9.875645,-0.0501,0.0467,-0.0356,0.077
9.886834,-0.0609,0.0513,-0.0535,0.096
9.898000,-0.0621,0.0750,-0.0382,0.105
9.910479,-0.0824,0.0582,-0.0115,0.102
9.925941,-0.1162,0.0535,0.0169,0.129
9.926620,-0.1265,0.0630,0.0384,0.146
9.935973,-0.1392,0.0752,0.0636,0.171
9.944105,-0.1444,0.0849,0.0723,0.182
9.953652,-0.1329,0.0780,0.0804,0.174
9.965598,-0.1268,0.0781,0.0819,0.170
9.977340,-0.0991,0.0735,0.0548,0.135
9.986345,-0.0625,0.0615,0.0475,0.100
9.997679,-0.0456,0.0591,0.0213,0.078
10.010131,-0.0422,0.0400,0.0091,0.059
10.015358,-0.0578,0.0521,0.0206,0.081
10.024856,-0.0875,0.0689,0.0535,0.124
10.034669,-0.1477,0.0763,0.0762,0.183
10.049185,-0.2259,0.0885,0.1012,0.263
10.055139,-0.2487,0.0863,0.1051,0.283
10.065379,-0.1908,0.0769,0.1041,0.231
10.075903,-0.1337,0.0652,0.1071,0.183
10.087378,-0.0920,0.0511,0.1036,0.148
10.098453,-0.0365,0.0250,0.1020,0.111
10.111915,-0.0102,0.0109,0.0673,0.069
10.119474,-0.0122,-0.0105,0.0327,0.036
10.131653,-0.0122,-0.0295,0.0296,0.044
10.139087,-0.0262,-0.0150,0.0290,0.042
10.145181,-0.0632,-0.0006,0.0194,0.066
10.154640,-0.0951,0.0161,0.0265,0.100
10.164785,-0.1195,0.0258,0.0474,0.131
10.175449,-0.1194,0.0331,0.0563,0.136
10.187481,-0.0894,0.0547,0.0628,0.122
10.200788,-0.0383,0.0739,0.0338,0.090
10.211759,-0.0310,0.0643,-0.0135,0.073
10.222979,-0.0656,0.0640,-0.0692,0.115
10.235075,-0.0906,0.0589,-0.0843,0.137
10.235428,-0.1552,0.0658,-0.0684,0.182
10.247992,-0.1912,0.0825,-0.0274,0.210
10.254422,-0.2051,0.0825,0.0251,0.222
10.264676,-0.1719,0.0637,0.0977,0.208
10.274942,-0.1952,0.0688,0.1244,0.241
10.285250,-0.2138,0.0548,0.1560,0.270
10.296340,-0.1615,0.0528,0.1637,0.236
10.307469,-0.0879,0.0389,0.1801,0.204
10.323047,-0.0555,0.0225,0.1613,0.172
10.328979,-0.0403,0.0109,0.1237,0.131
10.340670,-0.0353,0.0065,0.1047,0.111
10.346453,-0.0670,0.0186,0.0345,0.078
10.356100,-0.1082,0.0352,-0.0295,0.118
10.366289,-0.1107,0.0638,-0.0715,0.146
10.375800,-0.1209,0.0947,-0.0918,0.179
10.386946,-0.1266,0.1089,-0.0789,0.185
10.396167,-0.1527,0.0991,-0.0609,0.192
10.417087,-0.1626,0.1013,-0.0481,0.198
10.418120,-0.1622,0.0868,-0.0258,0.186
10.426459,-0.1223,0.0605,0.0100,0.137
10.439742,-0.0636,0.0438,0.0362,0.085
10.447521,-0.0367,0.0248,0.0451,0.063
10.457766,-0.0431,0.0057,0.0234,0.049
10.468105,-0.0493,-0.0061,0.0319,0.059
10.478644,-0.0480,0.0013,0.0545,0.073
10.487374,-0.0776,0.0280,0.0865,0.120
10.498328,-0.0816,0.0401,0.1045,0.139
10.512257,-0.1370,0.0738,0.1034,0.187
10.528372,-0.1779,0.0740,0.0977,0.216
10.529212,-0.1781,0.0862,0.1133,0.228
10.539548,-0.1853,0.0961,0.1330,0.247
10.547317,-0.1903,0.1035,0.1271,0.251
10.557190,-0.1971,0.0895,0.1302,0.253
10.567847,-0.1874,0.0873,0.1195,0.239
10.577608,-0.1261,0.0685,0.1084,0.180
10.586815,-0.1095,0.0543,0.0904,0.152
10.598580,-0.1059,0.0545,0.0752,0.141
10.614218,-0.0855,0.0571,0.0740,0.127
10.626289,-0.0649,0.0548,0.0592,0.104
10.633013,-0.0780,0.0573,0.0256,0.100
10.639458,-0.1023,0.0595,-0.0096,0.119
10.651709,-0.0675,0.0596,0.0045,0.090
10.659175,-0.0309,0.0596,0.0404,0.078
10.669612,0.0116,0.0359,0.0632,0.074
10.679267,-0.0004,0.0432,0.0313,0.053
10.689597,-0.0351,0.0551,0.0074,0.066
10.698686,-0.0629,0.0672,0.0240,0.095
10.712118,-0.0929,0.0816,0.0619,0.138
10.729968,-0.1296,0.0794,0.0654,0.166
10.730762,-0.1258,0.0844,0.0502,0.160
10.740770,-0.0909,0.0726,0.0638,0.133
10.749123,-0.0228,0.0537,0.1007,0.116
10.759602,-0.0154,0.0491,0.0875,0.102
10.770188,-0.0385,0.0493,0.0483,0.079
10.779780,-0.0194,0.0469,0.0363,0.062
10.790629,0.0091,0.0589,0.0413,0.072
10.800323,-0.0071,0.0494,0.0215,0.054
10.813112,-0.0164,0.0494,-0.0046,0.052
10.825525,-0.0062,0.0399,0.0070,0.041
10.832001,0.0150,0.0328,0.0282,0.046
10.839437,0.0006,0.0327,-0.0027,0.033
10.851715,-0.0139,0.0397,-0.0397,0.058
10.859263,-0.0046,0.0491,-0.0603,0.078
10.869594,-0.0118,0.0392,-0.0875,0.097
10.879391,-0.0286,0.0533,-0.1026,0.119
10.889674,-0.0282,0.0770,-0.0728,0.110
10.901727,-0.0089,0.0864,-0.0338,0.093
10.913343,0.0356,0.0865,0.0231,0.096
10.926270,0.0259,0.0818,0.0371,0.093
10.938241,-0.0031,0.0675,0.0179,0.070
10.945354,0.0063,0.0531,-0.0081,0.054
10.952111,0.0200,0.0530,0.0138,0.058
10.964102,0.0220,0.0436,0.0583,0.076
10.971062,0.0094,0.0534,0.0856,0.101
10.981037,-0.0002,0.0561,0.1029,0.117
10.990208,0.0209,0.0468,0.1349,0.144
11.000932,0.0656,0.0306,0.1749,0.189
11.013352,0.0733,0.0025,0.1788,0.193
11.032441,0.1134,-0.0208,0.1847,0.218
11.033165,0.1415,-0.0297,0.1591,0.215
11.040979,0.1527,-0.0436,0.1304,0.205
11.053429,0.1166,-0.0266,0.0977,0.154
11.064424,0.0578,0.0214,0.0683,0.092
11.071206,-0.0066,0.0836,0.0468,0.096
11.081784,-0.0772,0.1267,0.0420,0.154
11.091285,-0.0953,0.1626,0.0300,0.191
11.101672,-0.0962,0.1649,-0.0245,0.192
11.119060,-0.0446,0.1525,-0.0964,0.186
11.120861,0.0414,0.1257,-0.1346,0.189
11.137905,0.0810,0.0846,-0.1513,0.191
11.144062,0.1024,0.0480,-0.1619,0.197
11.154800,0.1184,0.0235,-0.1327,0.179
11.160453,0.1182,0.0137,-0.0858,0.147
11.170873,0.1155,0.0159,-0.0297,0.120
11.181847,0.0991,0.0040,0.0152,0.100
11.191373,0.0924,0.0017,0.0455,0.103
11.202543,0.1169,0.0138,0.0473,0.127
11.218575,0.1100,0.0209,0.0116,0.113
11.228433,0.0654,0.0183,-0.0541,0.087
11.232660,0.0405,0.0537,-0.1043,0.124
11.240441,0.0284,0.0750,-0.1053,0.132
11.252344,0.0164,0.0772,-0.0896,0.119
11.261994,0.0020,0.0936,-0.0619,0.112
11.271721,-0.0024,0.0910,-0.0510,0.104
11.281986,0.0162,0.0837,-0.0480,0.098
11.291410,0.0397,0.1003,-0.0421,0.116
11.302748,0.0602,0.0761,-0.0458,0.107
11.313968,0.0737,0.0592,-0.0447,0.105
11.327448,0.0988,0.0591,-0.0325,0.120
11.339429,0.1086,0.0280,-0.0322,0.117
11.346262,0.1137,0.0207,-0.0172,0.117
11.353149,0.1016,0.0111,0.0042,0.102
11.368274,0.0812,0.0256,0.0416,0.095
11.374815,0.0586,0.0329,0.0555,0.087
11.382894,0.0551,0.0547,0.0780,0.110
11.393753,0.0591,0.0692,0.0767,0.119
11.408731,0.0274,0.0836,0.0430,0.098
11.415405,0.0219,0.0931,-0.0019,0.096
11.422972,0.0216,0.0930,-0.0184,0.097
11.434214,0.0189,0.0929,-0.0293,0.099
11.445492,0.0214,0.0975,-0.0288,0.104
11.454650,0.0210,0.0950,-0.0401,0.105
11.465473,0.0582,0.0852,-0.0507,0.115
11.481078,0.0545,0.0778,-0.0711,0.119
11.486459,0.0587,0.0657,-0.0678,0.111
11.493246,0.0863,0.0536,-0.0501,0.113
11.503211,0.0967,0.0582,-0.0613,0.128
11.512752,0.0972,0.0316,-0.0669,0.122
11.528718,0.0880,0.0363,-0.0449,0.105
11.539748,0.1003,0.0435,0.0217,0.111
11.546720,0.1408,0.0389,0.0616,0.158
11.553700,0.1340,0.0294,0.0395,0.143
11.565115,0.1169,0.0198,-0.0014,0.119
11.576508,0.1146,0.0173,-0.0462,0.125
11.588321,0.1219,0.0290,-0.0640,0.141
11.594421,0.1099,0.0455,-0.0745,0.140
11.603803,0.0709,0.0500,-0.0657,0.109
11.617933,0.0766,0.0547,-0.0245,0.097
11.634857,0.0869,0.0546,-0.0190,0.104
11.635366,0.0738,0.0496,-0.0347,0.095
11.644222,0.1035,0.0375,-0.0294,0.114
11.655119,0.0997,0.0398,-0.0525,0.120
11.665535,0.0795,0.0419,-0.0584,0.107
11.677238,0.0851,0.0514,-0.0383,0.107
11.688111,0.1383,0.0537,-0.0090,0.149
11.699087,0.1147,0.0296,-0.0394,0.125
11.705644,0.1029,0.0125,-0.0708,0.126
11.714881,0.1101,0.0074,-0.0645,0.128
11.730357,0.1131,0.0240,-0.0398,0.122
11.758883,0.0894,0.0263,-0.0535,0.107
11.759938,0.0733,0.0237,-0.0548,0.095
11.760807,0.0880,0.0379,-0.0608,0.113
11.765376,0.0915,0.0471,-0.0782,0.129
11.776714,0.1039,0.0492,-0.1030,0.154
11.788500,0.0880,0.0561,-0.1105,0.152
11.795514,0.0955,0.0557,-0.0942,0.145
11.805789,0.1079,0.0533,-0.0388,0.126
11.815718,0.0753,0.0484,-0.0285,0.094
11.836234,0.0409,0.0530,-0.0399,0.078
11.836896,0.0187,0.0458,-0.0301,0.058
11.845575,0.0212,0.0386,-0.0226,0.049
11.855427,0.0463,0.0170,-0.0055,0.050
11.865003,0.0970,-0.0045,-0.0033,0.097
11.876086,0.1310,-0.0213,-0.0031,0.133
11.888814,0.1284,-0.0308,0.0064,0.132
11.895717,0.1521,-0.0427,0.0131,0.159
11.905878,0.1686,-0.0450,0.0125,0.175
11.922081,0.1537,-0.0187,-0.0085,0.155
11.942267,0.1243,0.0051,-0.0345,0.129
11.942952,0.0489,0.0480,-0.0405,0.080
11.948604,-0.0245,0.0790,-0.0330,0.089
11.955792,-0.0506,0.1149,0.0029,0.126
11.965369,-0.0685,0.1220,0.0177,0.141
11.977802,-0.0582,0.1005,0.0175,0.117
11.988704,-0.0217,0.0766,-0.0016,0.080
11.999827,-0.0067,0.0573,-0.0537,0.079
12.006795,0.0192,0.0498,-0.0829,0.099
12.016812,0.0332,0.0400,-0.0885,0.103
12.027127,0.0301,0.0397,-0.0821,0.096
12.042553,0.0202,0.0348,-0.0456,0.061
12.050059,0.0169,0.0300,-0.0216,0.041
12.057937,0.0046,0.0492,-0.0000,0.049
12.067466,-0.0052,0.0539,0.0097,0.055
12.077491,0.0064,0.0515,0.0289,0.059
12.088612,0.0110,0.0468,0.0286,0.056
12.099370,-0.0008,0.0515,0.0048,0.052
12.111581,-0.0098,0.0465,-0.0443,0.065
12.117469,-0.0264,0.0535,-0.0551,0.081
12.127500,-0.0491,0.0629,-0.0494,0.094
12.149123,-0.0624,0.0748,-0.0300,0.102
12.149859,-0.0822,0.0677,-0.0085,0.107
12.157721,-0.0548,0.0820,0.0464,0.109
12.169340,-0.0276,0.0680,0.0879,0.115
12.178317,-0.0063,0.0585,0.0801,0.099
12.188955,0.0103,0.0467,0.0598,0.077
12.199930,0.0192,0.0325,0.0593,0.070
12.211710,0.0050,0.0208,0.0791,0.082
12.218733,-0.0067,0.0187,0.1348,0.136
12.230069,-0.0297,0.0216,0.1631,0.167
12.249909,-0.0647,0.0125,0.1607,0.174
12.250793,-0.0778,0.0225,0.1319,0.155
12.259682,-0.0629,0.0372,0.1156,0.137
12.269177,-0.0410,0.0540,0.0672,0.095
12.279766,-0.0053,0.0589,0.0140,0.061
12.287815,-0.0237,0.0708,-0.0261,0.079
12.299682,-0.0375,0.0849,-0.0631,0.112
12.311122,-0.0914,0.1014,-0.0831,0.160
12.318941,-0.1610,0.1034,-0.0789,0.207
12.335680,-0.1605,0.1151,-0.0440,0.202
12.343087,-0.1419,0.1127,-0.0007,0.181
12.349662,-0.1090,0.0937,0.0513,0.153
12.359663,-0.0878,0.0746,0.0484,0.125
12.369869,-0.0676,0.0555,0.0313,0.093
12.379124,-0.0194,0.0317,0.0497,0.062
12.389335,0.0027,0.0080,0.0726,0.073
12.400977,0.0003,0.0035,0.0806,0.081
12.412423,-0.0025,0.0038,0.0886,0.089
12.419395,0.0214,0.0112,0.1061,0.109
12.432811,0.0136,0.0139,0.0808,0.083
12.447695,-0.0054,0.0116,0.0488,0.050
12.453379,-0.0332,0.0166,0.0549,0.066
12.459311,-0.0516,0.0264,0.0729,0.093
12.469288,-0.0791,0.0410,0.0955,0.131
12.480557,-0.1089,0.0531,0.0994,0.157
12.491538,-0.1022,0.0701,0.1026,0.161
12.502709,-0.0627,0.0848,0.1059,0.149
12.513803,-0.0574,0.0729,0.0428,0.102
